District,Crop,Year,Predicted_Production
Ahmadabad,coconut,2025,3973.2
Ahmadabad,kapas,2025,678.55
Ahmadabad,tapioca,2025,1327.45
Ahmadabad,arecanut,2025,5545.28
Ahmadabad,bitter gourd,2025,771.76
Ahmadabad,black pepper,2025,806.25
Ahmadabad,cashewnut raw,2025,703.33
Ahmadabad,drum stick,2025,316.84
Ahmadabad,jack fruit,2025,2243.21
Ahmadabad,papaya,2025,6314.64
Ahmadabad,pineapple,2025,806.1
Ahmadabad,pump kin,2025,3003.32
Ahmadabad,rubber,2025,586.28
Ahmadabad,snak guard,2025,2130.58
Ahmadabad,watermelon,2025,320.24
Ahmadabad,korra,2025,917.06
Ahmadabad,lemon,2025,947.68
Ahmadabad,sapota,2025,938.14
Ahmadabad,cond-spcs other,2025,32.88
Ahmadabad,paddy,2025,11039.34
Ahmadabad,cauliflower,2025,729.0
Ahmadabad,khesari,2025,678.55
Ahmadabad,other citrus fruit,2025,786.8
Ahmadabad,arcanut (processed),2025,5545.28
Ahmadabad,atcanut (raw),2025,5793.44
Ahmadabad,cardamom,2025,614.98
Ahmadabad,cashewnut processed,2025,649.26
Ahmadabad,carrot,2025,614.98
Ahmadabad,redish,2025,280.26
Ahmadabad,peas  (vegetable),2025,161.56
Ahmadabad,ash gourd,2025,5545.28
Ahmadabad,beet root,2025,883.77
Ahmadabad,lab-lab,2025,947.68
Ahmadabad,ribed guard,2025,248.11
Ahmadabad,yam,2025,729.0
Ahmadabad,jute & mesta,2025,678.55
Ahmadabad,colocosia,2025,4057.21
Ahmadabad,tea,2025,671.54
Ahmadabad,apple,2025,5545.28
Ahmadabad,peach,2025,302.1
Ahmadabad,pear,2025,224.32
Ahmadabad,plums,2025,2452.42
Ahmadabad,turnip,2025,358.21
Ahmadabad,coffee,2025,4057.21
Ahmadabad,bean,2025,876.34
Ahmadabad,jobster,2025,2243.21
Ahmadabad,perilla,2025,160.81
Ahmadabad,rajmash kholar,2025,2456.84
Ahmadabad,ricebean (nagadal),2025,586.28
Ahmadabad,litchi,2025,490.47
Ahmadabad,peas (vegetable),2025,161.56
Ahmadabad,ber,2025,884.23
Ahmadabad,other dry fruit,2025,883.84
Ahmadnagar,bajra,2025,710.13
Ahmadnagar,banana,2025,4402.0
Ahmadnagar,beans & mutter(vegetable),2025,876.34
Ahmadnagar,bhindi,2025,884.23
Ahmadnagar,blackgram,2025,2974.78
Ahmadnagar,bottle gourd,2025,2860.3
Ahmadnagar,brinjal,2025,13518.78
Ahmadnagar,cabbage,2025,613.68
Ahmadnagar,cashewnut,2025,362.05
Ahmadnagar,castor seed,2025,458.08
Ahmadnagar,chickpea,2025,872.41
Ahmadnagar,citrus fruit,2025,569.95
Ahmadnagar,coriander,2025,32.88
Ahmadnagar,cotton,2025,726.33
Ahmadnagar,cowpea(lobia),2025,597.71
Ahmadnagar,cucumber,2025,597.71
Ahmadnagar,dry chillies,2025,295.76
Ahmadnagar,garlic,2025,799.36
Ahmadnagar,ginger,2025,5154.89
Ahmadnagar,groundnut,2025,5175.1
Ahmadnagar,horse-gram,2025,2116.95
Ahmadnagar,jowar,2025,2118.84
Ahmadnagar,lentil,2025,509.4
Ahmadnagar,linseed,2025,509.41
Ahmadnagar,maize,2025,2087.14
Ahmadnagar,mango,2025,3175.82
Ahmadnagar,mesta,2025,1245.17
Ahmadnagar,mungbean,2025,3250.97
Ahmadnagar,onion,2025,2556.37
Ahmadnagar,orange,2025,2659.04
Ahmadnagar,other fibres,2025,1102.61
Ahmadnagar,other fresh fruits,2025,1181.61
Ahmadnagar,other kharif pulses,2025,1307.46
Ahmadnagar,other misc. pulses,2025,1307.46
Ahmadnagar,other oilseeds,2025,1214.0
Ahmadnagar,other rabi pulses,2025,990.44
Ahmadnagar,other vegetables,2025,1268.79
Ahmadnagar,pigeonpeas,2025,3576.0
Ahmadnagar,pomegranate,2025,4102.56
Ahmadnagar,potato,2025,999.55
Ahmadnagar,ragi,2025,2750.72
Ahmadnagar,rapeseed &mustard,2025,317.7
Ahmadnagar,rice,2025,2075.99
Ahmadnagar,safflower,2025,586.28
Ahmadnagar,samai,2025,97.34
Ahmadnagar,sesamum,2025,236.48
Ahmadnagar,small millets,2025,3028.85
Ahmadnagar,soyabean,2025,729.0
Ahmadnagar,sugarcane,2025,723.22
Ahmadnagar,sunflower,2025,1238.31
Ahmadnagar,sweet potato,2025,1474.69
Ahmadnagar,tobacco,2025,398.21
Ahmadnagar,tomato,2025,2046.24
Ahmadnagar,turmeric,2025,365.04
Ahmadnagar,varagu,2025,321.04
Ahmadnagar,wheat,2025,748.82
Ahmadnagar,barley,2025,5415.35
Ahmadnagar,dry ginger,2025,211.87
Ahmadnagar,other  rabi pulses,2025,297.65
Ahmadnagar,peas & beans (pulses),2025,160.33
Ahmadnagar,sannhamp,2025,7.79
Ahmadnagar,guar seed,2025,3435.12
Ahmadnagar,jute,2025,533.86
Ahmadnagar,moth,2025,1418.97
Ahmadnagar,oilseeds total,2025,1408.06
Ahmadnagar,total foodgrain,2025,5429.31
Ahmadnagar,other cereals & millets,2025,619.52
Ahmadnagar,pulses total,2025,6690.87
Ahmadnagar,grapes,2025,5187.52
Ahmadnagar,niger seed,2025,577.43
Ahmadnagar,coconut,2025,568.51
Ahmadnagar,kapas,2025,533.86
Ahmadnagar,tapioca,2025,1123.26
Ahmadnagar,arecanut,2025,692.14
Ahmadnagar,bitter gourd,2025,771.76
Ahmadnagar,black pepper,2025,806.25
Ahmadnagar,cashewnut raw,2025,450.12
Ahmadnagar,drum stick,2025,316.84
Ahmadnagar,jack fruit,2025,2243.21
Ahmadnagar,papaya,2025,6314.64
Ahmadnagar,pineapple,2025,2648.71
Ahmadnagar,pump kin,2025,2828.86
Ahmadnagar,rubber,2025,586.28
Ahmadnagar,snak guard,2025,2485.71
Ahmadnagar,watermelon,2025,320.24
Ahmadnagar,korra,2025,550.31
Ahmadnagar,lemon,2025,540.42
Ahmadnagar,sapota,2025,844.72
Ahmadnagar,cond-spcs other,2025,32.88
Ahmadnagar,paddy,2025,11039.34
Ahmadnagar,cauliflower,2025,458.08
Ahmadnagar,khesari,2025,533.86
Ahmadnagar,other citrus fruit,2025,563.29
Ahmadnagar,arcanut (processed),2025,692.14
Ahmadnagar,atcanut (raw),2025,702.22
Ahmadnagar,cardamom,2025,363.67
Ahmadnagar,cashewnut processed,2025,416.55
Ahmadnagar,carrot,2025,363.67
Ahmadnagar,redish,2025,271.36
Ahmadnagar,peas  (vegetable),2025,160.33
Ahmadnagar,ash gourd,2025,692.14
Ahmadnagar,beet root,2025,883.77
Ahmadnagar,lab-lab,2025,540.42
